Time,growth,Economy,Mood,Price,Finance
Mar-08,-3.055571463,0.373449159,1.454835471,-2.889418753,-1.354547634
Apr-08,-2.757634812,0.659277439,3.492364901,-3.028926125,-1.475193604
May-08,-2.786520984,0.415265359,5.99381711,-2.967612221,-1.645833383
Jun-08,-1.573840705,0.626847292,3.884132812,-3.335988023,-1.586665916
Jul-08,-0.369197319,0.471957122,4.050564142,-3.837534916,-1.470349279
Aug-08,1.208206945,0.553224725,6.023833947,-3.864262267,-1.478301012
Sep-08,2.394562267,0.487506391,3.65840736,-3.556883048,-1.392184318
Oct-08,4.75471278,0.490457999,5.379031438,-2.75029929,-1.515317714
Nov-08,7.399212221,1.06915379,4.644881995,-1.073906839,-1.685799469
Dec-08,8.550465916,-7.189993374,3.634718576,0.346101291,-2.26562438
Jan-09,8.200641578,1.408725141,0.547060982,1.433445194,-2.386837088
Feb-09,5.689996442,0.459114099,-0.911344576,2.32530087,-2.409706513
Mar-09,4.484171651,0.608180592,1.591036283,3.077318891,-3.044272992
Apr-09,4.101727151,0.514705336,1.612985327,3.374962779,-2.996992646
May-09,3.159380125,0.594883263,-1.16757497,3.744511584,-2.836063858
Jun-09,0.927079169,0.53248184,0.185705618,4.240802278,-3.013133105
Jul-09,-0.310451372,0.4933626,-2.336060109,4.508402253,-2.866957793
Aug-09,-2.0415429,0.739986359,-3.005581413,4.479303958,-2.742428019
Sep-09,-3.155008053,0.289262912,0.385709399,4.140460073,-2.785816566
Oct-09,-5.335612718,0.936290188,-2.629016709,3.705039675,-2.620184856
Nov-09,-8.001842644,0.432593518,-4.896457537,2.229817585,-2.469403842
Dec-09,-8.454475955,-4.825493294,-3.938200792,0.471516204,-2.1967369
Jan-10,-8.580910464,-5.216077831,0.581068811,-0.66329553,-1.841915931
Feb-10,-6.112160015,0.957892105,2.22765424,-1.481689563,-2.005802115
Mar-10,-6.207055836,0.281595297,0.865264351,-1.710208887,-1.541886069
Apr-10,-6.146278142,0.68022446,0.230294011,-2.048284982,-1.415445265
May-10,-5.281258403,0.43343403,1.154044419,-2.255675474,-1.476286915
Jun-10,-3.33547098,0.546549372,-0.077204426,-2.126660886,-1.309571823
Jul-10,-2.405131453,0.553019666,1.608026502,-1.61796877,-1.319823159
Aug-10,-2.298680092,0.507998445,1.229768475,-1.427176196,-1.664425986
Sep-10,-1.614096238,0.458723914,0.633913418,-1.481063246,-1.752555873
Oct-10,-1.685900069,0.762861904,1.618297165,-1.846535839,-1.851456393
Nov-10,-1.67895736,0.694141335,0.254764924,-2.286470067,-1.902965287
Dec-10,-0.099469329,-7.150117154,0.771994873,-2.350522163,-2.061066928
Jan-11,-0.930401205,-3.848693398,1.498944403,-2.428070808,-1.592650433
Feb-11,-1.560788709,0.669554054,-1.071047697,-2.594693679,-1.245695762
Mar-11,-2.772201724,0.444591767,0.997396465,-2.523347827,-1.297473256
Apr-11,-1.982493103,0.543327664,1.684799021,-2.427086166,-1.175661213
May-11,-2.146476127,0.525020199,0.832142781,-2.3985601,-1.12573902
Jun-11,-2.90723234,0.539947798,2.774825496,-2.471423957,-1.142615266
Jul-11,-2.402092976,0.529387543,1.037264523,-2.666647297,-0.918439573
Aug-11,-2.166519657,0.515228621,2.154307037,-2.538412653,-0.664405251
Sep-11,-1.677182308,0.514409341,3.489166609,-2.322196085,-0.534555402
Oct-11,-0.859247241,0.580575015,3.238244708,-1.710168303,-0.509118949
Nov-11,-0.000388116,0.970396851,4.007310112,-0.798328889,-0.46288686
Dec-11,1.453969569,-8.027888215,1.150465837,-0.471159447,-0.685360771
Jan-12,2.297479241,2.921219825,-0.521639441,-0.096043299,-0.575565571
Feb-12,-1.732992938,0.263549827,1.454300796,0.676162412,-0.308775729
